Treatment,Period,Subject,Group,Profit,TotalProfit,Type,Group1_ID,Group2_ID,Investment,sumInvestment,sumInvestmentGroup1,sumInvestmentGroup2,Profit1_Public_Total,Profit1_Private,Profit1_Public,Fixed,Profit1,TypeP,Assigned,ReceivedPoints,Received,Reduction,Profit2
ZERO,3,4,1,109.2,347.4,1,2,0,1,59,38,21,436.6,22,7.4,88.8,118.2,1,0,3,9,9,109.2
ZERO,3,5,1,139.2,441.8,1,5,0,6,59,38,21,436.6,12,44.4,88.8,145.2,1,3,1,3,6,139.2
ZERO,3,6,1,150.6,464.8,2,0,3,7,59,38,21,436.6,10,51.8,88.8,150.6,0,0,0,0,0,150.6
ZERO,3,7,1,113.6,369.2,1,1,0,12,59,38,21,436.6,0,88.8,88.8,177.6,1,4,20,60,64,113.6
ZERO,3,8,1,111.6,378.2,1,4,0,12,59,38,21,436.6,0,88.8,88.8,177.6,1,0,22,66,66,111.6
ZERO,3,9,2,163.2,523.2,2,0,2,12,62,39,23,384.4,0,74.4,88.8,163.2,0,0,0,0,0,163.2
ZERO,3,10,2,163.2,494.6,1,5,0,12,62,39,23,384.4,0,74.4,88.8,163.2,1,0,0,0,0,163.2
ZERO,3,11,2,133.8,413.4,1,2,0,5,62,39,23,384.4,14,31,88.8,133.8,1,0,0,0,0,133.8
ZERO,3,12,2,146.4,433.4,1,1,0,8,62,39,23,384.4,8,49.6,88.8,146.4,1,0,0,0,0,146.4
ZERO,3,13,2,112.8,383.6,2,0,3,0,62,39,23,384.4,24,0,88.8,112.8,0,0,0,0,0,112.8
ZERO,3,14,2,129.6,411.2,1,3,0,4,62,39,23,384.4,16,24.8,88.8,129.6,1,0,0,0,0,129.6
ZERO,3,15,2,154.8,445.2,1,4,0,10,62,39,23,384.4,4,62,88.8,154.8,1,0,0,0,0,154.8
ZERO,3,16,2,159,502,2,0,1,11,62,39,23,384.4,2,68.2,88.8,159,0,0,0,0,0,159
ZERO,4,1,1,175.2,659,2,0,2,8,53,37,16,519.4,8,78.4,88.8,175.2,0,0,0,0,0,175.2
ZERO,4,2,1,136.2,560.8,2,0,1,3,53,37,16,519.4,18,29.4,88.8,136.2,0,0,0,0,0,136.2
ZERO,4,3,1,104.4,460.6,1,3,0,7,53,37,16,519.4,10,68.6,88.8,167.4,1,60,1,3,63,104.4
ZERO,4,4,1,126.4,473.8,1,2,0,2,53,37,16,519.4,20,19.6,88.8,128.4,1,2,0,0,2,126.4
ZERO,4,5,1,141,582.8,1,5,0,4,53,37,16,519.4,16,39.2,88.8,144,1,0,1,3,3,141
ZERO,4,6,1,151.8,616.6,2,0,3,5,53,37,16,519.4,14,49,88.8,151.8,0,0,0,0,0,151.8
ZERO,4,7,1,109.4,478.6,1,1,0,12,53,37,16,519.4,0,117.6,88.8,206.4,1,4,31,93,97,109.4
ZERO,4,8,1,107.4,485.6,1,4,0,12,53,37,16,519.4,0,117.6,88.8,206.4,1,0,33,99,99,107.4
ZERO,4,9,2,158.4,681.6,2,0,2,12,63,37,26,365.4,0,69.6,88.8,158.4,0,0,0,0,0,158.4
ZERO,4,10,2,148.6,643.2,1,5,0,11,63,37,26,365.4,2,63.8,88.8,154.6,1,0,2,6,6,148.6
ZERO,4,11,2,131.8,545.2,1,2,0,5,63,37,26,365.4,14,29,88.8,131.8,1,0,0,0,0,131.8
ZERO,4,12,2,139.4,572.8,1,1,0,7,63,37,26,365.4,10,40.6,88.8,139.4,1,0,0,0,0,139.4
ZERO,4,13,2,128,511.6,2,0,3,4,63,37,26,365.4,16,23.2,88.8,128,0,0,0,0,0,128
ZERO,4,14,2,131.8,543,1,3,0,5,63,37,26,365.4,14,29,88.8,131.8,1,0,0,0,0,131.8
ZERO,4,15,2,145,590.2,1,4,0,9,63,37,26,365.4,6,52.2,88.8,147,1,2,0,0,2,145
ZERO,4,16,2,150.8,652.8,2,0,1,10,63,37,26,365.4,4,58,88.8,150.8,0,0,0,0,0,150.8
ZERO,5,1,1,190.2,849.2,2,0,2,9,51,32,19,540.6,6,95.4,88.8,190.2,0,0,0,0,0,190.2
ZERO,5,2,1,155.8,716.6,2,0,1,5,51,32,19,540.6,14,53,88.8,155.8,0,0,0,0,0,155.8
ZERO,5,3,1,140.8,601.4,1,3,0,5,51,32,19,540.6,14,53,88.8,155.8,1,15,0,0,15,140.8
ZERO,5,4,1,155.8,629.6,1,2,0,5,51,32,19,540.6,14,53,88.8,155.8,1,0,0,0,0,155.8
ZERO,5,5,1,150.8,733.6,1,5,0,5,51,32,19,540.6,14,53,88.8,155.8,1,5,0,0,5,150.8
ZERO,5,6,1,155.8,772.4,2,0,3,5,51,32,19,540.6,14,53,88.8,155.8,0,0,0,0,0,155.8
ZERO,5,7,1,156,634.6,1,1,0,12,51,32,19,540.6,0,127.2,88.8,216,1,0,20,60,60,156
ZERO,5,8,1,155.8,641.4,1,4,0,5,51,32,19,540.6,14,53,88.8,155.8,1,0,0,0,0,155.8
ZERO,5,9,2,148.8,830.4,2,0,2,12,65,31,34,325,0,60,88.8,148.8,0,0,0,0,0,148.8
ZERO,5,10,2,118.8,762,1,5,0,8,65,31,34,325,8,40,88.8,136.8,1,0,6,18,18,118.8
ZERO,5,11,2,124.8,670,1,2,0,6,65,31,34,325,12,30,88.8,130.8,1,6,0,0,6,124.8
ZERO,5,12,2,127.8,700.6,1,1,0,5,65,31,34,325,14,25,88.8,127.8,1,0,0,0,0,127.8
ZERO,5,13,2,148.8,660.4,2,0,3,12,65,31,34,325,0,60,88.8,148.8,0,0,0,0,0,148.8
ZERO,5,14,2,130.8,673.8,1,3,0,6,65,31,34,325,12,30,88.8,130.8,1,0,0,0,0,130.8
ZERO,5,15,2,130.8,721,1,4,0,6,65,31,34,325,12,30,88.8,130.8,1,0,0,0,0,130.8
ZERO,5,16,2,142.8,795.6,2,0,1,10,65,31,34,325,4,50,88.8,142.8,0,0,0,0,0,142.8
ZERO,6,1,1,181.6,1030.8,2,0,2,8,51,32,19,540.6,8,84.8,88.8,181.6,0,0,0,0,0,181.6
ZERO,6,2,1,155.8,872.4,2,0,1,5,51,32,19,540.6,14,53,88.8,155.8,0,0,0,0,0,155.8
ZERO,6,3,1,137.8,739.2,1,3,0,5,51,32,19,540.6,14,53,88.8,155.8,1,15,1,3,18,137.8
ZERO,6,4,1,161.4,791,1,2,0,6,51,32,19,540.6,12,63.6,88.8,164.4,1,0,1,3,3,161.4
ZERO,6,5,1,147.8,881.4,1,5,0,5,51,32,19,540.6,14,53,88.8,155.8,1,5,1,3,8,147.8
ZERO,6,6,1,164.4,936.8,2,0,3,6,51,32,19,540.6,12,63.6,88.8,164.4,0,0,0,0,0,164.4
ZERO,6,7,1,153,787.6,1,1,0,12,51,32,19,540.6,0,127.2,88.8,216,1,3,20,60,63,153
ZERO,6,8,1,147.2,788.6,1,4,0,4,51,32,19,540.6,16,42.4,88.8,147.2,1,0,0,0,0,147.2
ZERO,6,9,2,158.4,988.8,2,0,2,12,63,36,27,365.4,0,69.6,88.8,158.4,0,0,0,0,0,158.4
ZERO,6,10,2,146.4,908.4,1,5,0,12,63,36,27,365.4,0,69.6,88.8,158.4,1,0,4,12,12,146.4
ZERO,6,11,2,131.8,801.8,1,2,0,5,63,36,27,365.4,14,29,88.8,131.8,1,0,0,0,0,131.8
ZERO,6,12,2,135.6,836.2,1,1,0,6,63,36,27,365.4,12,34.8,88.8,135.6,1,0,0,0,0,135.6
ZERO,6,13,2,143.2,803.6,2,0,3,8,63,36,27,365.4,8,46.4,88.8,143.2,0,0,0,0,0,143.2
ZERO,6,14,2,135.6,809.4,1,3,0,6,63,36,27,365.4,12,34.8,88.8,135.6,1,0,0,0,0,135.6
ZERO,6,15,2,135.4,856.4,1,4,0,7,63,36,27,365.4,10,40.6,88.8,139.4,1,4,0,0,4,135.4
ZERO,6,16,2,139.4,935,2,0,1,7,63,36,27,365.4,10,40.6,88.8,139.4,0,0,0,0,0,139.4
ZERO,7,1,1,194.2,1225,2,0,2,11,54,32,22,507.6,2,103.4,88.8,194.2,0,0,0,0,0,194.2
ZERO,7,2,1,149.8,1022.2,2,0,1,5,54,32,22,507.6,14,47,88.8,149.8,0,0,0,0,0,149.8
ZERO,7,3,1,131.8,871,1,3,0,5,54,32,22,507.6,14,47,88.8,149.8,1,15,1,3,18,131.8
ZERO,7,4,1,149.8,940.8,1,2,0,5,54,32,22,507.6,14,47,88.8,149.8,1,0,0,0,0,149.8
ZERO,7,5,1,130.8,1012.2,1,5,0,5,54,32,22,507.6,14,47,88.8,149.8,1,19,0,0,19,130.8
ZERO,7,6,1,157.2,1094,2,0,3,6,54,32,22,507.6,12,56.4,88.8,157.2,0,0,0,0,0,157.2
ZERO,7,7,1,38.6,826.2,1,1,0,12,54,32,22,507.6,0,112.8,88.8,201.6,1,1,54,162,163,38.6
ZERO,7,8,1,129.8,918.4,1,4,0,5,54,32,22,507.6,14,47,88.8,149.8,1,20,0,0,20,129.8
ZERO,7,9,2,192,1180.8,2,0,2,12,56,27,29,481.6,0,103.2,88.8,192,0,0,0,0,0,192
ZERO,7,10,2,152.4,1060.8,1,5,0,6,56,27,29,481.6,12,51.6,88.8,152.4,1,0,0,0,0,152.4
ZERO,7,11,2,145.8,947.6,1,2,0,5,56,27,29,481.6,14,43,88.8,145.8,1,0,0,0,0,145.8
ZERO,7,12,2,145.8,982,1,1,0,5,56,27,29,481.6,14,43,88.8,145.8,1,0,0,0,0,145.8
ZERO,7,13,2,178.8,982.4,2,0,3,10,56,27,29,481.6,4,86,88.8,178.8,0,0,0,0,0,178.8
ZERO,7,14,2,145.8,955.2,1,3,0,5,56,27,29,481.6,14,43,88.8,145.8,1,0,0,0,0,145.8
ZERO,7,15,2,152.4,1008.8,1,4,0,6,56,27,29,481.6,12,51.6,88.8,152.4,1,0,0,0,0,152.4
ZERO,7,16,2,159,1094,2,0,1,7,56,27,29,481.6,10,60.2,88.8,159,0,0,0,0,0,159
ZERO,8,1,1,192,1417,2,0,2,12,56,32,24,481.6,0,103.2,88.8,192,0,0,0,0,0,192
ZERO,8,2,1,152.4,1174.6,2,0,1,6,56,32,24,481.6,12,51.6,88.8,152.4,0,0,0,0,0,152.4
ZERO,8,3,1,149.4,1020.4,1,3,0,6,56,32,24,481.6,12,51.6,88.8,152.4,1,0,1,3,3,149.4
ZERO,8,4,1,156,1096.8,1,2,0,7,56,32,24,481.6,10,60.2,88.8,159,1,0,1,3,3,156
ZERO,8,5,1,132.8,1145,1,5,0,5,56,32,24,481.6,14,43,88.8,145.8,1,10,1,3,13,132.8
ZERO,8,6,1,152.4,1246.4,2,0,3,6,56,32,24,481.6,12,51.6,88.8,152.4,0,0,0,0,0,152.4
ZERO,8,7,1,131.6,957.8,1,1,0,8,56,32,24,481.6,8,68.8,88.8,165.6,1,4,10,30,34,131.6
ZERO,8,8,1,149.4,1067.8,1,4,0,6,56,32,24,481.6,12,51.6,88.8,152.4,1,0,1,3,3,149.4
ZERO,8,9,2,187.2,1368,2,0,2,12,57,33,24,467.4,0,98.4,88.8,187.2,0,0,0,0,0,187.2
ZERO,8,10,2,181.2,1242,1,5,0,12,57,33,24,467.4,0,98.4,88.8,187.2,1,0,2,6,6,181.2
ZERO,8,11,2,143.8,1091.4,1,2,0,5,57,33,24,467.4,14,41,88.8,143.8,1,0,0,0,0,143.8
ZERO,8,12,2,150,1132,1,1,0,6,57,33,24,467.4,12,49.2,88.8,150,1,0,0,0,0,150
ZERO,8,13,2,143.8,1126.2,2,0,3,5,57,33,24,467.4,14,41,88.8,143.8,0,0,0,0,0,143.8
ZERO,8,14,2,150,1105.2,1,3,0,6,57,33,24,467.4,12,49.2,88.8,150,1,0,0,0,0,150
ZERO,8,15,2,135.6,1144.4,1,4,0,4,57,33,24,467.4,16,32.8,88.8,137.6,1,2,0,0,2,135.6
ZERO,8,16,2,156.2,1250.2,2,0,1,7,57,33,24,467.4,10,57.4,88.8,156.2,0,0,0,0,0,156.2
ZERO,9,1,1,204,1621,2,0,2,8,44,24,20,589.6,8,107.2,88.8,204,0,0,0,0,0,204
ZERO,9,2,1,181.2,1355.8,2,0,1,6,44,24,20,589.6,12,80.4,88.8,181.2,0,0,0,0,0,181.2
ZERO,9,3,1,169.8,1190.2,1,3,0,5,44,24,20,589.6,14,67,88.8,169.8,1,0,0,0,0,169.8
ZERO,9,4,1,169.8,1266.6,1,2,0,5,44,24,20,589.6,14,67,88.8,169.8,1,0,0,0,0,169.8
ZERO,9,5,1,169.8,1314.8,1,5,0,5,44,24,20,589.6,14,67,88.8,169.8,1,0,0,0,0,169.8
ZERO,9,6,1,181.2,1427.6,2,0,3,6,44,24,20,589.6,12,80.4,88.8,181.2,0,0,0,0,0,181.2
ZERO,9,7,1,169.8,1127.6,1,1,0,5,44,24,20,589.6,14,67,88.8,169.8,1,0,0,0,0,169.8
ZERO,9,8,1,158.4,1226.2,1,4,0,4,44,24,20,589.6,16,53.6,88.8,158.4,1,0,0,0,0,158.4
ZERO,9,9,2,254.4,1622.4,2,0,2,12,43,20,23,593.4,0,165.6,88.8,254.4,0,0,0,0,0,254.4
ZERO,9,10,2,160,1402,1,5,0,4,43,20,23,593.4,16,55.2,88.8,160,1,0,0,0,0,160
ZERO,9,11,2,160,1251.4,1,2,0,4,43,20,23,593.4,16,55.2,88.8,160,1,0,0,0,0,160
ZERO,9,12,2,160,1292,1,1,0,4,43,20,23,593.4,16,55.2,88.8,160,1,0,0,0,0,160
ZERO,9,13,2,171.8,1298,2,0,3,5,43,20,23,593.4,14,69,88.8,171.8,0,0,0,0,0,171.8
ZERO,9,14,2,160,1265.2,1,3,0,4,43,20,23,593.4,16,55.2,88.8,160,1,0,0,0,0,160
ZERO,9,15,2,160,1304.4,1,4,0,4,43,20,23,593.4,16,55.2,88.8,160,1,0,0,0,0,160
ZERO,9,16,2,183.6,1433.8,2,0,1,6,43,20,23,593.4,12,82.8,88.8,183.6,0,0,0,0,0,183.6
ZERO,10,1,1,230.4,1851.4,2,0,2,12,48,25,23,566.4,0,141.6,88.8,230.4,0,0,0,0,0,230.4
ZERO,10,2,1,171.6,1527.4,2,0,1,6,48,25,23,566.4,12,70.8,88.8,171.6,0,0,0,0,0,171.6
ZERO,10,3,1,161.8,1352,1,3,0,5,48,25,23,566.4,14,59,88.8,161.8,1,0,0,0,0,161.8
ZERO,10,4,1,161.8,1428.4,1,2,0,5,48,25,23,566.4,14,59,88.8,161.8,1,0,0,0,0,161.8
ZERO,10,5,1,161.8,1476.6,1,5,0,5,48,25,23,566.4,14,59,88.8,161.8,1,0,0,0,0,161.8
ZERO,10,6,1,161.8,1589.4,2,0,3,5,48,25,23,566.4,14,59,88.8,161.8,0,0,0,0,0,161.8
ZERO,10,7,1,161.8,1289.4,1,1,0,5,48,25,23,566.4,14,59,88.8,161.8,1,0,0,0,0,161.8
ZERO,10,8,1,161.8,1388,1,4,0,5,48,25,23,566.4,14,59,88.8,161.8,1,0,0,0,0,161.8
ZERO,10,9,2,230.4,1852.8,2,0,2,12,48,25,23,566.4,0,141.6,88.8,230.4,0,0,0,0,0,230.4
ZERO,10,10,2,155.2,1557.2,1,5,0,8,48,25,23,566.4,8,94.4,88.8,191.2,1,0,12,36,36,155.2
ZERO,10,11,2,142,1393.4,1,2,0,4,48,25,23,566.4,16,47.2,88.8,152,1,10,0,0,10,142
ZERO,10,12,2,160.8,1452.8,1,1,0,5,48,25,23,566.4,14,59,88.8,161.8,1,1,0,0,1,160.8
ZERO,10,13,2,161.8,1459.8,2,0,3,5,48,25,23,566.4,14,59,88.8,161.8,0,0,0,0,0,161.8
ZERO,10,14,2,151,1416.2,1,3,0,4,48,25,23,566.4,16,47.2,88.8,152,1,1,0,0,1,151
ZERO,10,15,2,152,1456.4,1,4,0,4,48,25,23,566.4,16,47.2,88.8,152,1,0,0,0,0,152
ZERO,10,16,2,171.6,1605.4,2,0,1,6,48,25,23,566.4,12,70.8,88.8,171.6,0,0,0,0,0,171.6
ZERO,11,1,1,249.6,2101,2,0,2,12,44,21,23,589.6,0,160.8,88.8,249.6,0,0,0,0,0,249.6
ZERO,11,2,1,181.2,1708.6,2,0,1,6,44,21,23,589.6,12,80.4,88.8,181.2,0,0,0,0,0,181.2
ZERO,11,3,1,169.8,1521.8,1,3,0,5,44,21,23,589.6,14,67,88.8,169.8,1,0,0,0,0,169.8
ZERO,11,4,1,158.4,1586.8,1,2,0,4,44,21,23,589.6,16,53.6,88.8,158.4,1,0,0,0,0,158.4
ZERO,11,5,1,158.4,1635,1,5,0,4,44,21,23,589.6,16,53.6,88.8,158.4,1,0,0,0,0,158.4
ZERO,11,6,1,169.8,1759.2,2,0,3,5,44,21,23,589.6,14,67,88.8,169.8,0,0,0,0,0,169.8
ZERO,11,7,1,158.4,1447.8,1,1,0,4,44,21,23,589.6,16,53.6,88.8,158.4,1,0,0,0,0,158.4
ZERO,11,8,1,158.4,1546.4,1,4,0,4,44,21,23,589.6,16,53.6,88.8,158.4,1,0,0,0,0,158.4
ZERO,11,9,2,235.2,2088,2,0,2,12,47,22,25,573.4,0,146.4,88.8,235.2,0,0,0,0,0,235.2
ZERO,11,10,2,162,1719.2,1,5,0,6,47,22,25,573.4,12,73.2,88.8,174,1,0,4,12,12,162
ZERO,11,11,2,150.6,1544,1,2,0,4,47,22,25,573.4,16,48.8,88.8,153.6,1,3,0,0,3,150.6
ZERO,11,12,2,152.6,1605.4,1,1,0,4,47,22,25,573.4,16,48.8,88.8,153.6,1,1,0,0,1,152.6
ZERO,11,13,2,163.8,1623.6,2,0,3,5,47,22,25,573.4,14,61,88.8,163.8,0,0,0,0,0,163.8
ZERO,11,14,2,153.6,1569.8,1,3,0,4,47,22,25,573.4,16,48.8,88.8,153.6,1,0,0,0,0,153.6
ZERO,11,15,2,153.6,1610,1,4,0,4,47,22,25,573.4,16,48.8,88.8,153.6,1,0,0,0,0,153.6
ZERO,11,16,2,194.4,1799.8,2,0,1,8,47,22,25,573.4,8,97.6,88.8,194.4,0,0,0,0,0,194.4
ZERO,12,1,1,240,2341,2,0,2,12,46,23,23,579.6,0,151.2,88.8,240,0,0,0,0,0,240
ZERO,12,2,1,176.4,1885,2,0,1,6,46,23,23,579.6,12,75.6,88.8,176.4,0,0,0,0,0,176.4
ZERO,12,3,1,165.8,1687.6,1,3,0,5,46,23,23,579.6,14,63,88.8,165.8,1,0,0,0,0,165.8
ZERO,12,4,1,165.8,1752.6,1,2,0,5,46,23,23,579.6,14,63,88.8,165.8,1,0,0,0,0,165.8
ZERO,12,5,1,155.2,1790.2,1,5,0,4,46,23,23,579.6,16,50.4,88.8,155.2,1,0,0,0,0,155.2
ZERO,12,6,1,165.8,1925,2,0,3,5,46,23,23,579.6,14,63,88.8,165.8,0,0,0,0,0,165.8
ZERO,12,7,1,155.2,1603,1,1,0,4,46,23,23,579.6,16,50.4,88.8,155.2,1,0,0,0,0,155.2
ZERO,12,8,1,165.8,1712.2,1,4,0,5,46,23,23,579.6,14,63,88.8,165.8,1,0,0,0,0,165.8
ZERO,12,9,2,211.2,2299.2,2,0,2,12,52,27,25,530.4,0,122.4,88.8,211.2,0,0,0,0,0,211.2
ZERO,12,10,2,153.8,1873,1,5,0,5,52,27,25,530.4,14,51,88.8,153.8,1,0,0,0,0,153.8
ZERO,12,11,2,140.6,1684.6,1,2,0,4,52,27,25,530.4,16,40.8,88.8,145.6,1,5,0,0,5,140.6
ZERO,12,12,2,153.8,1759.2,1,1,0,5,52,27,25,530.4,14,51,88.8,153.8,1,0,0,0,0,153.8
ZERO,12,13,2,153.8,1777.4,2,0,3,5,52,27,25,530.4,14,51,88.8,153.8,0,0,0,0,0,153.8
ZERO,12,14,2,145.6,1715.4,1,3,0,4,52,27,25,530.4,16,40.8,88.8,145.6,1,0,0,0,0,145.6
ZERO,12,15,2,171.6,1781.6,1,4,0,9,52,27,25,530.4,6,91.8,88.8,186.6,1,0,5,15,15,171.6
ZERO,12,16,2,178.4,1978.2,2,0,1,8,52,27,25,530.4,8,81.6,88.8,178.4,0,0,0,0,0,178.4
ZERO,13,1,1,210.8,2551.8,2,0,2,10,48,25,23,566.4,4,118,88.8,210.8,0,0,0,0,0,210.8
ZERO,13,2,1,191.2,2076.2,2,0,1,8,48,25,23,566.4,8,94.4,88.8,191.2,0,0,0,0,0,191.2
ZERO,13,3,1,151.8,1839.4,1,3,0,5,48,25,23,566.4,14,59,88.8,161.8,1,10,0,0,10,151.8
ZERO,13,4,1,152,1904.6,1,2,0,4,48,25,23,566.4,16,47.2,88.8,152,1,0,0,0,0,152
ZERO,13,5,1,142,1932.2,1,5,0,4,48,25,23,566.4,16,47.2,88.8,152,1,10,0,0,10,142
ZERO,13,6,1,161.8,2086.8,2,0,3,5,48,25,23,566.4,14,59,88.8,161.8,0,0,0,0,0,161.8
ZERO,13,7,1,152,1755,1,1,0,4,48,25,23,566.4,16,47.2,88.8,152,1,0,0,0,0,152
ZERO,13,8,1,131.2,1843.4,1,4,0,8,48,25,23,566.4,8,94.4,88.8,191.2,1,0,20,60,60,131.2
ZERO,13,9,2,163.2,2462.4,2,0,2,12,62,33,29,384.4,0,74.4,88.8,163.2,0,0,0,0,0,163.2
ZERO,13,10,2,151.2,2024.2,1,5,0,12,62,33,29,384.4,0,74.4,88.8,163.2,1,0,4,12,12,151.2
ZERO,13,11,2,130.8,1815.4,1,2,0,5,62,33,29,384.4,14,31,88.8,133.8,1,3,0,0,3,130.8
ZERO,13,12,2,132.8,1892,1,1,0,5,62,33,29,384.4,14,31,88.8,133.8,1,1,0,0,1,132.8
ZERO,13,13,2,154.8,1932.2,2,0,3,10,62,33,29,384.4,4,62,88.8,154.8,0,0,0,0,0,154.8
ZERO,13,14,2,133.8,1849.2,1,3,0,5,62,33,29,384.4,14,31,88.8,133.8,1,0,0,0,0,133.8
ZERO,13,15,2,138,1919.6,1,4,0,6,62,33,29,384.4,12,37.2,88.8,138,1,0,0,0,0,138
ZERO,13,16,2,142.2,2120.4,2,0,1,7,62,33,29,384.4,10,43.4,88.8,142.2,0,0,0,0,0,142.2
ZERO,14,1,1,235.2,2787,2,0,2,12,47,23,24,573.4,0,146.4,88.8,235.2,0,0,0,0,0,235.2
ZERO,14,2,1,194.4,2270.6,2,0,1,8,47,23,24,573.4,8,97.6,88.8,194.4,0,0,0,0,0,194.4
ZERO,14,3,1,148.8,1988.2,1,3,0,5,47,23,24,573.4,14,61,88.8,163.8,1,0,5,15,15,148.8
ZERO,14,4,1,148.8,2053.4,1,2,0,5,47,23,24,573.4,14,61,88.8,163.8,1,0,5,15,15,148.8
ZERO,14,5,1,138.6,2070.8,1,5,0,4,47,23,24,573.4,16,48.8,88.8,153.6,1,15,0,0,15,138.6
ZERO,14,6,1,153.6,2240.4,2,0,3,4,47,23,24,573.4,16,48.8,88.8,153.6,0,0,0,0,0,153.6
ZERO,14,7,1,153.6,1908.6,1,1,0,4,47,23,24,573.4,16,48.8,88.8,153.6,1,0,0,0,0,153.6
ZERO,14,8,1,148.8,1992.2,1,4,0,5,47,23,24,573.4,14,61,88.8,163.8,1,0,5,15,15,148.8
ZERO,14,9,2,134.4,2596.8,2,0,2,12,68,44,24,258.4,0,45.6,88.8,134.4,0,0,0,0,0,134.4
